Zernike_0,Zernike_1,Zernike_2,Zernike_3,Zernike_4,Zernike_5,Zernike_6,Zernike_7,Zernike_8,Zernike_9,Zernike_10,Zernike_11,Zernike_12,Zernike_13,Zernike_14,Zernike_15,Etiqueta,HU_0,HU_1,HU_2,HU_3,HU_4,HU_5,HU_6
0.31830988618379075,0.023350718941442666,0.02539071668823019,0.02097771137253111,0.018090074340708064,0.011187212825026844,0.00019495295576061106,0.007706862003919286,0.012676680965545395,0.019889700008595645,0.01250061136272739,0.008838975203612626,0.0022466102193246826,0.005569726547622352,0.007047641868366461,0.012888472680521127,Afro-ecuadorians,0.0011148839445116567,2.0913903436470353e-07,8.420990163163644e-13,1.3828821823954793e-12,1.4742119507148098e-24,5.99532245433158e-16,-2.317139646891748e-25
0.31830988618378986,0.020187019564089675,0.02075123687843945,0.023241081622137238,0.039179209738859064,0.03238981351087017,0.014528243237695684,0.00678441998704856,0.0047162153361557085,0.021929105091177695,0.005834143355172691,0.029608770451327,0.0049906744703875445,0.020756055647116946,0.01021256559226105,0.0045249935341548884,Afro-ecuadorians,0.0009811087684269142,1.8529261877338418e-07,7.047186915964335e-13,1.7742189746162004e-13,-6.005190004047841e-26,-7.550103787635938e-17,1.8155148852750103e-26
0.3183098861837907,0.010796893526476694,0.0034644800053018686,0.007116290515470399,0.011096387205162515,0.013356097873457045,0.011435821647211443,0.007594161430712746,0.008586998200348086,0.018162457405752477,0.019095031604445215,0.01352636387313132,0.014376734765875357,0.008355748371594631,0.013224072716145924,0.014578108329522837,Afro-ecuadorians,0.0009694416395449673,1.772553949088089e-07,9.903210971872422e-13,9.666815831956427e-13,-9.363568631239088e-25,-4.037813712078885e-16,-1.3353132974309173e-25
0.31830988618379075,0.030613742665162334,0.0016642409371549875,0.015636136445971317,0.011720034961773304,0.01351507556056109,0.00864610245879458,0.009315409566340123,0.00806618057319323,0.006257716476170664,0.019155049826409573,0.021929925571868722,0.007325135260001099,0.007682443223667883,0.0034586864997628586,0.0014793881784368513,Afro-ecuadorians,0.0009666399554926482,1.6396222786112657e-07,4.846340480138702e-13,3.932846858385926e-13,1.5908085768745052e-25,1.0184089922187662e-16,-6.460490096464733e-26
0.3183098861837907,0.008376725309718508,0.000540481993638052,0.003987519099642287,0.006725512697240614,0.005567015781601176,0.000994741800341485,0.0032298088843010437,0.002995211247581043,0.0016661515714565154,0.013087535309097271,0.025692653526580532,0.00030296643819979763,0.0067509966270631085,0.010864778861602633,0.012792729267352717,Afro-ecuadorians,0.0011134119890219563,2.1560006466841394e-07,1.704864873932184e-13,2.4403795612548334e-13,3.3185195740060846e-26,1.0345230187272085e-16,-3.7101470514029194e-26
0.3183098861837907,0.05610247572592949,0.021678977794114103,0.019118635738189636,0.021754878687209166,0.0075725579664418455,0.004243996312838664,0.01828293969703181,0.012265411287218874,0.017046329458318393,0.003849961162824639,0.021071895701128752,0.010648942035565585,0.01871585161651132,0.012915353726396952,0.003447982203391461,Afro-ecuadorians,0.0010774807366990989,2.0179286648305958e-07,5.126537697898839e-14,9.150210366413167e-14,2.3258842140390494e-27,8.072516150213189e-18,5.819396098408933e-27
0.3183098861837905,0.011686873556765379,0.008646696016836986,0.014099368444923478,0.0027084589836548867,0.014259712371937175,0.0017813175174226994,0.016688327662853383,0.014272996320692155,0.0019817617383885424,0.018403642337181086,0.017588858386827073,0.008787366258311299,0.009504773199066436,0.01281070620469302,0.009341025263135485,Afro-ecuadorians,0.0009883546618715718,1.6295498791990298e-07,6.562654382475774e-13,4.571982910386992e-13,1.036961574449724e-25,1.7117480041001313e-17,-2.279589211751385e-25
0.31830988618379086,0.07196711620663002,0.016383623622559133,0.04690743361532429,0.025214782661083585,0.010628332324713751,0.01408078089086839,0.019503219876951944,0.02210116414363105,0.0015151346563210702,0.0207145980992318,0.011290952357453128,0.01710465325572584,0.009306324095146323,0.007092671725194546,0.011759929104210249,Afro-ecuadorians,0.0011132819365066824,2.2030740646416435e-07,1.5431285392082515e-13,1.1685058176585239e-13,-6.767714285463656e-27,-2.899923015697699e-17,-1.4156335572602229e-26
0.3183098861837907,0.019534725771630707,0.0026915277548080147,0.005890081750509116,0.011505000353703602,0.00441980577689828,0.008788942498163204,0.010907063270387178,0.016673295903962354,0.016176248256447964,0.00264537465032314,0.0010027531939388176,0.0009422364543915753,0.014458947695378647,0.022329455151046118,0.012334706559655505,Afro-ecuadorians,0.0011064059037182799,2.327270584516693e-07,7.737796610958936e-13,6.964248500968775e-13,4.650148519695334e-25,2.614297565247682e-16,2.1241885327867385e-25
0.31830988618379086,0.02304683726171637,0.0028891847936234494,0.005171019658093165,0.013156064857416447,0.014172994146531169,0.003359037348821531,0.0023841197287192205,0.013679912518529978,0.018358228106302433,0.013515206357589385,0.02102468188057726,0.005187463643481148,0.011583827826483196,0.014019692225969141,0.016409365163703015,Afro-ecuadorians,0.0009991975776640506,1.9364293568937866e-07,7.112267421174714e-15,2.5556161801542536e-14,-1.1749406162567435e-28,-1.0215158406473557e-17,-3.2389387039963724e-28
